agencies,locations,Medicare-certified HH,Licensed-only HH,Hospice,PAS only,County,total_pop,seniors,CBSA,certified_per_10k_seniors,agencies_per_100k_pop,census,census_reporting_pct
21,22,7,0,5,9,Parker,165168,26355,"Dallas-Fort Worth-Arlington, TX",2.656,12.714,1181,68.2
1,1,1,0,0,0,Parmer,9731,1522,Rural Texas,6.57,10.276,33,100.0
1,1,1,0,0,0,Pecos,14896,2043,Rural Texas,4.895,6.713,83,100.0
11,11,4,2,5,0,Polk,52800,10101,Rural Texas,3.96,20.833,2236,81.8
38,39,10,14,7,8,Potter,115975,16611,"Amarillo, TX",6.02,32.766,4755,84.6
0,0,0,0,0,0,Presidio,5930,1157,Rural Texas,0.0,0.0,0,0.0
1,1,1,0,0,0,Rains,12775,3150,Rural Texas,3.175,7.828,48,100.0
10,10,0,5,1,4,Randall,146070,23213,"Amarillo, TX",0.0,6.846,1060,40.0
0,0,0,0,0,0,Reagan,3232,332,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Real,2802,1062,Rural Texas,0.0,0.0,0,0.0
2,2,2,0,0,0,Red River,11611,3000,"Paris, TX",6.667,17.225,134,100.0
1,1,1,0,0,0,Reeves,12664,1595,"Town of Pecos, TX",6.27,7.896,94,100.0
0,0,0,0,0,0,Refugio,6707,1511,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Roberts,832,148,"Pampa, TX",0.0,0.0,0,0.0
2,2,0,0,1,1,Robertson,17167,3576,"College Station-Bryan, TX",0.0,11.65,9,50.0
42,43,10,13,4,16,Rockwall,123617,15613,"Dallas-Fort Worth-Arlington, TX",6.405,33.976,2732,44.2
3,3,2,0,1,0,Runnels,9874,2113,Rural Texas,9.465,30.383,131,100.0
10,10,2,4,2,2,Rusk,52842,9225,"Longview, TX",2.168,18.924,613,90.0
2,2,0,0,1,1,Sabine,10023,3061,Rural Texas,0.0,19.954,260,100.0
0,0,0,0,0,0,San Augustine,7874,2111,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,San Jacinto,28441,6130,"Houston-Pasadena-The Woodlands, TX",0.0,0.0,0,0.0
4,4,0,0,1,3,San Patricio,70181,10837,"Corpus Christi, TX",0.0,5.7,32,75.0
1,1,0,0,1,0,San Saba,5696,1283,Rural Texas,0.0,17.556,23,100.0
0,0,0,0,0,0,Schleicher,2381,545,Rural Texas,0.0,0.0,0,0.0
3,3,1,0,1,1,Scurry,16488,2564,"Snyder, TX",3.9,18.195,27,66.7
1,1,1,0,0,0,Shackelford,3175,638,Rural Texas,15.674,31.496,58,100.0
4,4,2,0,1,1,Shelby,24155,4457,Rural Texas,4.487,16.56,807,75.0
0,0,0,0,0,0,Sherman,2295,422,Rural Texas,0.0,0.0,0,0.0
68,68,22,16,13,17,Smith,241740,42158,"Tyler, TX",5.218,28.129,7139,83.8
2,2,1,0,0,1,Somervell,9691,1946,Rural Texas,5.139,20.638,131,100.0
32,32,7,6,1,18,Starr,66067,7519,"Rio Grande City-Roma, TX",9.31,48.436,3107,71.9
4,4,0,2,1,1,Stephens,9351,1904,Rural Texas,0.0,42.776,120,100.0
0,0,0,0,0,0,Sterling,1468,230,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Stonewall,1227,343,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Sutton,3277,631,Rural Texas,0.0,0.0,0,0.0
0,0,0,0,0,0,Swisher,6937,1127,Rural Texas,0.0,0.0,0,0.0
568,579,122,127,89,232,Tarrant,2167390,266889,"Dallas-Fort Worth-Arlington, TX",4.571,26.207,38022,61.8
36,38,11,5,7,13,Taylor,145863,21812,"Abilene, TX",5.043,24.681,9108,78.9
0,0,0,0,0,0,Terrell,835,317,Rural Texas,0.0,0.0,0,0.0
4,4,2,0,2,0,Terry,11629,1882,Rural Texas,10.627,34.397,138,100.0
0,0,0,0,0,0,Throckmorton,1639,434,Rural Texas,0.0,0.0,0,0.0
7,8,3,2,2,1,Titus,31363,4763,"Mount Pleasant, TX",6.299,22.319,796,100.0
26,27,6,1,8,11,Tom Green,119577,20295,"San Angelo, TX",2.956,21.743,2808,77.8
202,209,40,52,35,78,Travis,1330015,146405,"Austin-Round Rock-San Marcos, TX",2.732,15.188,21833,72.7
0,0,0,0,0,0,Trinity,14046,3815,Rural Texas,0.0,0.0,0,0.0
3,3,3,0,0,0,Tyler,20238,4538,Rural Texas,6.611,14.824,245,100.0
1,1,0,0,0,1,Upshur,42567,7863,"Longview, TX",0.0,2.349,0,0.0
0,0,0,0,0,0,Upton,3191,611,Rural Texas,0.0,0.0,0,0.0
7,7,1,2,2,2,Uvalde,24881,4098,"Uvalde, TX",2.44,28.134,858,100.0
16,17,2,4,5,6,Val Verde,47741,6647,"Del Rio, TX",3.009,33.514,2787,88.2
